"Abmeldepha
se";"Modulnumm
er BWL";"Modulnumm
er VWL";"Modulnumm
er WI";"Modulnumm
er PuW,
WuR";"Modulnumm
er Ökön.";Modulbezeichnungen;Prüfung;Prüfer:in;2. Prüfer:in;Dauer (Min.);Klausurtyp;"Klausur
(JA/NEIN)";"Weitere
Modulleistung
(Freitext)";"Anmeldung
vorgezogen
(JA/NEIN)";"Termin
vorgezogen
(JA/NEIN)";Tag;Datum;Beginn;Ende
07.01.2025;;;;PM W 04;;Ökonomische Rechtsanalyse;Ökonomische Rechtsanalyse;Prof. Apolte;Prof. Müller;90;Standard;JA;;NEIN;NEIN;;;Bitte wenden Sie sich an den Lehrstuhl;
"Tag vor der
Prüfung";BWL 04;BWL 04;BWL 04;;;Operations Management;Operations Management;Prof. Hellingrath;Dr. Widera;90;Standard;JA;;NEIN;NEIN;Dienstag;18022025;8:00;09:30:00
"Tag vor der
Prüfung";TRB 28;;;;;Special Topics in Marketing A;Price Management;Prof. Krafft;tba;tba;Standard;JA;;NEIN;NEIN;Samstag;;;
"Tag vor der
Prüfung";;;INF 01;;;Programmierung;Programmierung;Prof. Gieseke;Prof. Grimme;120;Standard;JA;"Übungen
(Studienleistung)";NEIN;NEIN;Samstag;1022025;8:00;10:00:00
"Tag vor der
Prüfung";;;INF 01;;;Programmierung;Programmierung - Zweite Klausur;Prof. Gieseke;Prof. Grimme;120;Standard;JA;"Übungen
(Studienleistung)";NEIN;NEIN;Samstag;15032025;;
"Tag vor der
Prüfung";TRW 05;;WI 03;;;Prozessmanagement / Geschäftsprozessmanagement;"Prozessmanagement /
Geschäftsprozessmanagement";Prof. vom Brocke;Prof. Becker (WI);120;Standard;JA;Fallstudien;NEIN;NEIN;Freitag;14022025;11:00;13:00:00
"Tag vor der
Prüfung";"TRV 23,
VWL 35";"WPV 08,
VWL 35";;;;Public Choice Theorie;Public Choice Theorie;Prof. Apolte;Prof. Müller;90;Standard;JA;;NEIN;NEIN;;;Bitte wenden Sie sich an den Lehrstuhl;
"Tag vor der
Prüfung";TRV 24;WPV 09;;;;Ressourcenökonomik;Ressourcenökonomik;Prof. Gretschko;Dr. Lingens;60;Standard;JA;;NEIN;NEIN;Freitag;21022025;10:30;11:30:00
"Tag vor der
Prüfung";;;INF 03;;;Software Engineering;Software Engineering;Prof. Müller-Olm;tba;120;Standard;JA;"Übungen
(Studienleistung)";NEIN;NEIN;Samstag;;;
"Tag vor der
Prüfung";;;INF 03;;;Software Engineering;Software Engineering - 2te Klausur;Prof. Müller-Olm;tba;120;Standard;JA;"Übungen
(Studienleistung)";NEIN;NEIN;Samstag;;;
"Tag vor der
Prüfung";"TRV 27,
VWL 40";"VWL 14,
VWL 40";;WPM W 26;WPM W 26;"Sozialpolitik,
Ausgewählte Kapitel der Volkswirtschaftslehre";Sozialpolitik;Prof. Riedel;Prof. Watzinger;90;Standard;JA;;NEIN;NEIN;Montag;10022025;10:30;12:00:00
"Tag vor der
Prüfung";;VWL 04;;WPM W 11;WPM W 11;Staatseinnahmen;Spezielle Steuerlehre;Prof. Joh. Becker;Prof. Riedel;60;Standard;JA;;NEIN;NEIN;Mittwoch;12022025;8:00;09:00:00
"Tag vor der
Prüfung";TRB 30;VWL 09;;WPM W 11;WPM W 11;Steuerpolitik;Steuerpolitik;Prof. Joh. Becker;Prof. Riedel;60;Standard;JA;;NEIN;NEIN;Montag;3022025;13:00;14:00:00
"Tag vor der
Prüfung";"TRB 22,
BWL 31";"WPB 28,
BWL 31";;;;"Special Topics in Business Administration A,
Ausgewählte Kapitel der Betriebswirtschaftslehre";Strategic Procurement;Dr. Dörseln;Dr. Helena Helfer;90;Standard;JA;;NEIN;NEIN;Freitag;7022025;12:30;13:30:00
"Tag vor der
Prüfung";"TRB 26,
BWL 31";"WPB 32,
BWL 31";VM-BWL;;;"Special Topics in Management A,
Ausgewählte Kapitel der Betriebswirtschaftslehre";Supply Chain Integration Practices;"Prof. Luiz Felipe
Scavarda do Carmo
(Gastprofessor)";"Prof. Bernd
Hellingrath";60;Standard;JA;"mündliche
Prüfung";JA;NEIN;;;Bitte wenden Sie sich an den Lehrstuhl;
"Tag vor der
Prüfung";"TRB 32,
BWL 31";"WPB 28,
BWL 31";VM BWL;;;"Supply Chain Logistics Management,
Ausgewählte Kapitel der Betriebswirtschaftslehre";Supply Chain Logistics Management;"Prof. Scavarda do
Carmo
(Gastprofessor)";Prof. Hellingrath;60;Standard;JA;;NEIN;NEIN;Dienstag;4022025;15:00;16:00:00
"Tag vor der
Prüfung";BWL 01;;;;;"Willkommen zur Betriebswirtschaftslehre!
Grundlegende Theorien & ihre praktische Anwendung
(besteht aus den Prüfungen Theorie und Praxis der
BWL und You're the CEO NOW)";"Theorie und Praxis der
Betriebswirtschaftslehre";Prof. Hennig-Thurau;Prof. Krafft;90;LPLUS;JA;;NEIN;NEIN;Mittwoch;12022025;8:00;
"Tag vor der
Prüfung";"TRV 19,
VWL 11";"WPV 04,
VWL 11";;WPM W 24;WPM W 24;Handelstheorie und -politik;Trade Theory and Policy;Prof. Kempa;Prof. Bohl;90;Standard;JA;;NEIN;NEIN;Dienstag;18022025;10:30;12:00:00
"Tag vor der
Prüfung";TRV 31;WPV 11;;;;Unternehmen, Wettbewerb und Kooperation;"Unternehmen, Wettbewerb und
Kooperation";Prof. Dertwinkel-Kalt;Prof. Sieg;90;Standard;JA;;NEIN;NEIN;Montag;3022025;10:30;12:00:00
"Tag vor der
Prüfung";"SK,
QRS 04";;;;PM 05;"Schlüsselqualifikation,
Wirtschaftsethik";"Wirtschafts- und Unternehmensethik
(Pflichtleistung)";Prof. Müller;Prof. Apolte;60;LPLUS;JA;;NEIN;NEIN;Dienstag;4022025;8:00;
"Tag vor der
Prüfung";"SK,
QRS 04";;;;;Schlüsselqualifikation;Wirtschaftsenglisch (Gallagher);Gallagher;Prof. Krafft;60;Standard;JA;;NEIN;NEIN;Dienstag;18022025;13:00;14:00:00
"Tag vor der
Prüfung";"SK,
QRS 04";;;;;Schlüsselqualifikation;Wirtschaftsfranzösisch (Gallagher);Gallagher;Prof. Krafft;60;Standard;JA;;NEIN;NEIN;Mittwoch;5022025;9:00;10:00:00
"Tag vor der
Prüfung";"SK,
QRS 04";;;;;Schlüsselqualifikation;Wissenschaftliches Arbeiten;Dr. Brink;;60;Standard;JA;;NEIN;NEIN;Mittwoch;12022025;16:00;17:00:00
