"Abmeldepha
se";"Modulnumm
er BWL";"Modulnumm
er VWL";"Modulnumm
er WI";"Modulnumm
er PuW,
WuR";"Modulnumm
er Ökön.";Modulbezeichnungen;Prüfung;Prüfer:in;2. Prüfer:in;Dauer (Min.);Klausurtyp;"Klausur
(JA/NEIN)";"Weitere
Modulleistung
(Freitext)";"Anmeldung
vorgezogen
(JA/NEIN)";"Termin
vorgezogen
(JA/NEIN)";Tag;Datum;Beginn;Ende
"Tag vor der
Prüfung";BWL 06;;VM BWL;;;Planung, Steuern und Bilanzen;"Grundzüge der
Unternehmensbesteuerung (PO 2018 -4,5 LP)";Prof. Watrin;"Prof. Kirsch/Dr.
Weber";60;Standard;JA;;JA;JA;Mittwoch;18122024;14:30;15:30:00
"Tag vor der
Prüfung";BWL 08;WPB 01;BWL 08;;;Bilanzen und Steuern;"Grundzüge der
Unternehmensbesteuerung (PO 2022 - 3
LP)";Prof. Watrin;"Prof. Kirsch/Dr.
Weber";60;Standard;JA;;JA;JA;Mittwoch;18122024;14:30;15:30:00
"Tag vor der
Prüfung";BWL-S 02;BWL-S 02;;;;Integriertes Management Seminar;Innovationsmanagement;Prof. Hennig-Thurau;Prof. Krafft;60;Standard;JA;Praktische Übung;JA;JA;Freitag;13122024;14:30;15:30:00
22.10.2024;;;"Sem1,
Sem2,
VM WI";;;"Seminar Wirtschaftsinformatik 1
Seminar Wirtschaftsinformatik 2,
Vertiefungsmodul Wirtschaftsinformatik";IS Ethics;Prof. Vieru;Jun.-Prof. Berger;60;Standard;NEIN;;JA;JA;Dienstag;17122024;14:00;15:00:00
"Tag vor der
Prüfung";;;INF 04;;;IT Systems;IT Systems;Dr. Lechtenbörger;Prof. Grimme;90;Standard;JA;Übungsaufgaben;JA;JA;Freitag;29112024;15:00;16:30:00
"Tag vor der
Prüfung";;VWL 05;;WPM W 06;WPM W 06;Makroökonomik II: Konjunktur & Beschäftigung;"Konjunktur & Beschäftigung
(Modulabschlussprüfung)";Dr. Meyer;Dr. Lingens;90;Standard;JA;;JA;JA;Freitag;20122024;8:00;09:30:00
"Tag vor der
Prüfung";SK;WPS 01;;;;"Schlüsselqualifikation,
Lineare Algebra";Lineare Algebra (6 LP);Dr. Segnon;Prof. Wilfling;90;Standard;JA;;JA;JA;Donnerstag;19122024;11:00;12:30:00
29.11.2024;;;;PM W 02;PM W 02;Makroökonomische Grundlagen;Makroökonomie;Prof. Apolte;Prof. Müller;90;Standard;JA;;JA;JA;Montag;16122024;10:00;12:00:00
"Tag vor der
Prüfung";"BWL 10,
BWL 09";"WPB 16,
BWL 09";"BWL 10,
VM BWL";;;"Marketing Analytics,
Quantitatives Marketing";"Marketing Analytics 1
(Market Research)";Ferié, M.Sc.;Prof. Krafft;60;Standard;JA;;JA;JA;Freitag;20122024;10:00;11:00:00
"Tag vor der
Prüfung";BWL 03;WPB 17;BWL 03;;;Marketing Management;Marketing Management;Prof. Wiesel;Prof. Krafft;90;LPLUS;JA;;JA;JA;Montag;16122024;8:00;
"Tag vor der
Prüfung";;;;;Ök-W 04;"Methoden der Wirtschaftswissenschaften für das
Lehramt";"Methoden der
Wirtschaftswissenschaften für das
Lehramt";Dr. Fischer;Prof. Müller;90;Standard;JA;;JA;JA;;;Bitte wenden Sie sich an den Lehrstuhl;
"Tag vor der
Prüfung";VWL 08a;;;;;Neue Institutionenökonomik für BWLer;Neue Institutionenökonomik;Jun.-Prof. Klein;Prof. Sieg;90;Standard;JA;;JA;JA;Donnerstag;19122024;8:00;09:30:00
"Tag vor der
Prüfung";;VWL 08;;WPM W 07;WPM W 07;Mikroökonomik III;"Neue Institutionenökonomik / Theorie
der Unternehmung";Jun.-Prof. Klein;Prof. Sieg;120;Standard;JA;;JA;JA;Donnerstag;19122024;8:00;10:00:00
"Tag vor der
Prüfung";;;QM 02;;;Operations Research;Operations Research;Prof. Grimme;Prof. Gieseke;90;Hybrid;JA;Übungsaufgaben;JA;ja;Mittwoch;18122024;10:00;14:00:00
"Tag vor der
Prüfung";BWL 06;;;;;Planung, Steuern und Bilanzen;Planung und Entscheidung;Prof. Ehrmann;Prof. Leker;60;Standard;JA;;JA;JA;Donnerstag;19122024;16:30;17:30:00
"Tag vor der
Prüfung";VWL 01;VWL 01;;;;"Einführung in die VWL & Mikroökonomik (BWL)/
Einführung in die Wirtschaftswissenschaften (VWL),
Mikroökonomik I";"Principles of Economics (EVWL auf
Englisch)";Prof. Riedel;Prof. Watzinger;60;Standard;JA;;JA;JA;Dienstag;17122024;16:30;17:30:00
"Tag vor der
Prüfung";"TRB 16,
BWL 31";"WPB 22,
BWL 31";;;;"Principles of Entrepreneurship,
Ausgewählte Kapitel der Betriebswirtschaftslehre";Principles of Entrepreneurship;Prof. Bendig;Prof. Backmann;90;LPLUS;JA;;JA;JA;Dienstag;17122024;8:00;
"Tag vor der
Prüfung";"R 01,
QRS 03";"WPS 02,
QRS 03";;;;Recht für Ökonomen;Privatrecht;Prof. Kindl;"Prof. Casper /
Prof. Saenger";90;Standard;JA;;JA;JA;Freitag;20122024;14:30;16:00:00
"Tag vor der
Prüfung";"SK,
QRS 04";;;;;Schlüsselqualifikation;"Programmierung mit Python
(An- und Abmeldung: 09.10.2024 -14.10.2024)";Dr. Schmitting;Prof. Berens;60;Computer-Klausur;JA;;JA;JA;;;Bitte wenden Sie sich an den Lehrstuhl;
"Tag vor der
Prüfung";;;WI 04;;;Project Management;Project Management;Dr. Vogl;Prof. Berger;120;Standard;JA;Studienleistungen;JA;JA;Donnerstag;19122024;8:00;10:00:00
"Tag vor der
Prüfung";BWL 02;"WPB 11,
BWL 02";BWL 02;;;Grundlagen des Rechnungswesens;"Rechnungswesen,
(Grundlagen des
betriebswirtschaftlichen
Rechnungswesens)";Prof. Kajüter;Prof. Artz;120;Standard;JA;;JA;JA;Freitag;29112024;10:30;12:30:00
"Tag vor der
Prüfung";"TRB 36,
BWL 13";"WPB 43,
BWL 13";VM BWL;;;Vertiefung Finance;Specialization in Finance;Prof. Langer;Prof. Guenster;90;Standard;JA;;JA;JA;Samstag;14122024;11:00;12:30:00
"Tag vor der
Prüfung";;VWL 03;;;;Mikroökonomik II;Spieltheorie (PO 2018, PO 2022 - 4,5 LP);Prof. Watzinger;Prof. Riedel;60;Standard;JA;;JA;JA;Montag;16122024;16:30;17:30:00
"Tag vor der
Prüfung";TRV 28;VWL 04;;WPM W 30;WPM 28;Spieltheorie;Spieltheorie (PO 2022 - 6 LP);Prof. Watzinger;Prof. Riedel;60;Standard;JA;;JA;JA;Montag;16122024;16:30;17:30:00
"Tag vor der
Prüfung";TRB 26;WPB 32;;WPM W 03;WPM W 03;"Special Topics in Management A,
Betriebswirtschaftslehre";Sportökonomik;Prof. Dilger;Prof. Müller;90;Standard;JA;;JA;JA;Donnerstag;19122024;16:00;18:00:00
"Tag vor der
Prüfung";;;QM 05;;;Systemanalyse und Entscheidungsfindung;"Systemanalyse und
Entscheidungsfindung";Prof. Grimme;Prof. Gieseke;90;Hybrid;JA;Übungsaufgaben;JA;JA;Montag;16122024;10:00;14:00:00
"Tag vor der
Prüfung";QRS 01;QRS 01;;;;Mathematik und IT;Techniken der IT;Dr. Schmitting;;60;Computer-Klausur;JA;;JA;JA;Donnerstag;24102024;8:00;
22.10.2024;;;"VM WI,
VM QM";;;Vertiefungsmodul;Urban Analytics;Prof. Brandt;tba;60;Standard;JA;"Präsentation +
Reflexion + Video";JA;JA;;;Bitte wenden Sie sich an den Lehrstuhl;
"Tag vor der
Prüfung";"TRV 32,
VWL 40";"VWL 11,
VWL 40";;WPM W 27;WPM W 27;"Verhaltensökonomik,
Ausgewählte Kapitel der Volkswirtschaftslehre";Verhaltensökonomik;Prof. Dertwinkel-Kalt;Prof. Sieg;90;Standard;JA;;JA;JA;Mittwoch;18122024;10:00;11:30:00
"Tag vor der
Prüfung";"TRB 32,
BWL 12";"WPB 40,
BWL 12";VM BWL;;;"Taxation,
Vertiefung Taxation
(besteht aus den Prüfungen Ertragsteuern und
Verkehrssteuern)";Verkehrssteuern;Prof. Watrin;"Prof. Kirsch/Dr.
Weber";60;Standard;JA;;JA;JA;Freitag;20122024;8:00;09:00:00
"Tag vor der
Prüfung";"TRB 35,
BWL 14";"WPB 42,
BWL 14";"BWL 14,
VM BWL";;;"Versicherungsmanagement,
Versicherungsökonomie";"Versicherungsmanagement bzw.
Versicherungsökonomie";Prof. Artz;Prof. Kajüter;60;Standard;JA;;JA;JA;Mittwoch;18122024;16:30;17:30:00
"Tag vor der
Prüfung";;;;WPM W 03;WPM W 03;Betriebswirtschaftslehre;"Vorlesung zur BWL: Industrielle
Beziehungen und Internationales";Prof. Dilger;Prof. Müller;90;Standard;JA;;JA;JA;Montag;16122024;10:00;12:00:00
"Tag vor der
Prüfung";TRV 33;VWL 12;;WPM W 01;WPM 01;Wettbewerb und Regulierung;Wettbewerb und Regulierung;Prof. Sieg;Prof. Watzinger;90;Standard;JA;;JA;JA;Samstag;7122024;8:30;10:00:00
22.10.2024;;;WI 01;;;Einführung in die Wirtschaftsinformatik;"Wissenschaftliches Arbeiten & Ethik in
der Wirtschaftsinformatik";Prof. Becker (WI);Prof. vom Brocke;;Standard;JA;"mündliche
Prüfung,
Studienleistungen";JA;JA;;;Bitte wenden Sie sich an den Lehrstuhl;
